ClassName,ID,English_Original,Vietnamese_Current
Ch50,sorryBeard_franz_001,Good morning! Sorry for the beard…,Chào buổi sáng! Xin lỗi vì bộ râu…
Ch50,sorryBeard_franz_002,Still no time to shave it!,Vẫn chưa có thời gian để cạo nó!
Ch50,sorryBeard_franz_003,"I know you’re used to this excuse, I’ve been using it for years now...","Tôi biết bạn đã quen với lý do này, tôi đã sử dụng nó nhiều năm rồi..."
Ch50,sorryBeard_franz_004,But this is gonna change…,Nhưng điều này sẽ thay đổi…
Ch50,sorryBeard_franz_005,This is the final day.,Đây là ngày cuối cùng.
Ch50,sorryBeard_franz_006,"I’m going to upload the latest version of Xana in your core, and virtualize myself.",Tôi sẽ tải phiên bản Xana mới nhất lên lõi của bạn và tự ảo hóa.
Ch50,comeOn_franz_comeOn_001,Come on!,Cố lên!
Ch50,comeOn_franz_weAreGoing_001,"We're going into a world without danger,
where we'll be safe, you and I. Forever.","Chúng ta sẽ đến một thế giới không có nguy hiểm,"
Ch50,comeOn_franz_seeYouIn_001,See you in a minute honey...,Hẹn gặp em sau một phút nhé em yêu...
Ch50,comeOn_franz_ohNoRun_001,"Oh no! Run Aelita, run!","Ồ không! Chạy đi Aelita, chạy đi!"
Ch50,comeOn_franz_whateverYouDo_001,"Whatever you do, don't leave this tower.","Dù bạn làm gì, đừng rời khỏi tòa tháp này."
Ch50,comeOn_franz_itsAllOver_001,It's all over Aelita. Xana's too powerful.,Tất cả đều ở Aelita. Xana quá mạnh mẽ.
Ch50,comeOn_franz_itsAllOver_002,"He's become threat to all mankind.
I've got to shut the supercomputer down.",Anh ta đã trở thành mối đe dọa cho nhân loại.
Ch50,comeOn_franz_neverForget_001,"You must never forget me!
Never forget Aelita...",con không được quên bố!
Ch51,entryLab_franz_comeIn_001,Come in!,Vào đi!
Ch51,entryLab_franz_forgotToTell_001,Yeah sorry I forgot to tell. The code lock system wasn't reliable anymore.,Vâng xin lỗi tôi quên nói. Hệ thống khóa mã không còn đáng tin cậy nữa.
Ch51,entryLab_franz_welcomeBack_001,Welcome back!,Chào mừng trở lại!
Ch51,entryLab_franz_beCareful_001,Be careful.,Hãy cẩn thận.
Ch51,entryLab_franz_whatHaveIDone_001,What I have done? It's too dangerous!,Tôi đã làm gì? Nó quá nguy hiểm!
Ch51,entryLab_franz_mustForget_001,"You must forget about all that. I don't want you, to end up like my wife...",Bạn phải quên đi tất cả những điều đó. Anh không muốn em có kết cục như vợ anh...
Ch51,entryLab_franz_goodLuck_001,Good luck,Chúc may mắn
Ch52,oddExplainsPRIME_franz_001,When did all of it happen?,Tất cả chuyện đó xảy ra khi nào?
Ch52,oddExplainsPRIME_jeremie_001,"Well. It started on October 8, 2003--",Tốt. Nó bắt đầu vào ngày 8 tháng 10 năm 2003--
Ch52,oddExplainsPRIME_odd_001,"If I may. (passage au dessins degueux de Odd, il trace un dessin sur le tableau)","Nếu tôi có thể. (đoạn au dessins degueux de Odd, il trace un dessin sur le tableau)"
Ch52,oddExplainsPRIME_jeremie_002,...?,...?
Ch52,oddExplainsPRIME_odd_002,"No really. You explained me that so much times, I want to be sure.","Không thực sự. Bạn đã giải thích cho tôi điều đó rất nhiều lần, tôi muốn chắc chắn."
Ch52,oddExplainsPRIME_jeremie_003,Go ahead.,Hãy tiếp tục.
Ch52,oddExplainsPRIME_odd_003,One beautiful day. Jeremy activates the supercomputer. No vision. Nada.,Một ngày đẹp trời. Jeremy kích hoạt siêu máy tính. Không có tầm nhìn. Nada.
Ch52,oddExplainsPRIME_odd_004,Two years later he use a neural headset and just get a biiig headache. Nothing more to declare,"Hai năm sau, anh ấy sử dụng tai nghe thần kinh và bị đau đầu dữ dội. Không còn gì để khai báo"
Ch52,oddExplainsPRIME_odd_005,"Then, at the end of his journey, he decides for a weird reason to go back in time.","Sau đó, khi kết thúc cuộc hành trình, anh quyết định quay ngược thời gian vì một lý do kỳ lạ."
Ch52,oddExplainsPRIME_odd_006,"Back on the bridge, Our Einstein boot up the supercomputer. A year later, he gets a gift from the past, well the future. The future past, he quickly dismisses it and...","Trở lại cây cầu, Einstein của chúng ta khởi động siêu máy tính. Một năm sau, anh nhận được một món quà từ quá khứ và tương lai. Quá khứ tương lai, anh nhanh chóng gạt bỏ nó và..."
Ch52,oddExplainsPRIME_franz_002,A gift?,Một món quà?
Ch52,theGift_odd_001,Yeah. A vision that's like a birthday gift. I call it a gift,Vâng. Một tầm nhìn giống như một món quà sinh nhật. Tôi gọi đó là một món quà
Ch52,theGift_franz_001,"In all my attempts to save my Anthea, I didn't used the neural headset to send myself messages, I only got the... gifts.","Trong mọi nỗ lực cứu Anthea của mình, tôi đã không sử dụng tai nghe thần kinh để gửi tin nhắn cho chính mình, tôi chỉ nhận được... Quà tặng."
Ch52,theGift_franz_002,A vision of me. A flashforward. Small visions that seemed like fleeting dreams...,Một hình ảnh của tôi. Một sự chớp nhoáng. Những hình ảnh nhỏ tưởng chừng như những giấc mơ thoáng qua...
Ch52,theGift_franz_003,It changed. Each time. And on different occasions: shutting on or down the supercomputer. Scanning myself for the first time. Heck. Having a bad night...,Nó đã thay đổi. Mỗi lần. Và trong những trường hợp khác: tắt hoặc bật siêu máy tính. Quét bản thân lần đầu tiên. Chết tiệt. Có một đêm tồi tệ...
Ch52,theGift_franz_004,"That's what helped me remembering that something was off and then, discovering on which attempt I was.",Đó là điều đã giúp tôi nhớ rằng có điều gì đó không ổn và sau đó khám phá ra mình đang cố gắng thực hiện điều gì.
Ch52,theGift_franz_005,"If we ever used the enhanced return to the past, every people in this room who used this... (pointing at OLD neural)","Nếu chúng ta từng sử dụng khả năng quay trở lại quá khứ nâng cao, mọi người trong phòng này đã sử dụng cái này... (chỉ vào thần kinh OLD)"
Ch52,theGift_aelita_001,...would get some sort of a vision on the timeline that follows.,...sẽ có được một tầm nhìn nào đó về dòng thời gian tiếp theo.
Ch52,william,"Yeah. None of us got something like that, only Jeremy did",William
Ch52,ulrich,I did use the neural headset a few years ago. To help Jeremy. Would I have some vision then if there was a new giga rttp ?,Ulrich
Ch52,ulrich,Just like me. Just like Jeremy. A part of your brain is now trained to survive the next enhanced return to the past.,Ulrich
Ch52,aelita,But we won't have to. Right father ?,Aelita
Ch52,franz,"Plus he used this headset (jeremy headset) which actually increased the gifts.
Hm. I'm envious..",Franz
Ch52,franz,Yes.,Franz
Ch52,franz,Let's hope not sweety.,Franz
Ch52,franz,Life has taught me tthe hard way not to look at the past. Nore at the future. But at the present.,Franz
Ch52,franz,"And my present, is you.",Franz
Ch52,followup_odd_001,So. Jeremy,Vì thế. Jeremy
Ch52,followup_odd_002,"Our Einstein boot up the supercomputer and got a vision, of him.
An older him.","Einstein của chúng mình khởi động siêu máy tính và nhìn thấy hình ảnh của cậu ấy.
Một cậu lớn tuổi hơn."
Ch52,followup_odd_003,Of course he think he's too tired and forgot it rather quickly.,Tất nhiên anh ấy nghĩ mình quá mệt và quên nó khá nhanh.
Ch52,followup_odd_004,"Then 2 years later that little chimp decides to use a neural headset he built to improve his math skills,  behind our back!","Sau đó 2 năm, con tinh tinh nhỏ đó quyết định sử dụng tai nghe thần kinh mà nó chế tạo để cải thiện kỹ năng toán học của mình, sau lưng chúng ta!"
Ch52,followup_jeremie_001,I already said that I was sorry--,Tôi đã nói là tôi xin lỗi--
Ch52,followup_yumi_001,Shh. Your ruining the story,Suỵt. Bạn làm hỏng câu chuyện rồi
Ch52,followup_odd_005,At this moment. Boom! He gets a message from his previous self.,Tại thời điểm này. Bùm! Anh ấy nhận được một tin nhắn từ bản thân trước đây của mình.
